"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2021";"";"01.01.2021";"31.01.2021";"";"";"";"";"";"";"";"";"";"";"-17.92";"0.1";"Hydroisotop";"-133.2";"1";"Hydroisotop";"4.5";"0.7";"Hydroisotop";"";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2021";"";"01.02.2021";"28.02.2021";"";"";"";"";"";"";"";"";"";"";"-14.9";"0.1";"Hydroisotop";"-109.9";"1";"Hydroisotop";"6.1";"0.6";"Hydroisotop";"";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2021";"";"01.04.2021";"30.04.2021";"";"";"";"";"";"";"";"";"";"";"-13.97";"0.1";"Hydroisotop";"-105.9";"1";"Hydroisotop";"7.8";"0.7";"Hydroisotop";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2021";"";"01.05.2021";"31.05.2021";"";"";"";"";"";"";"";"";"";"";"-9.21";"0.1";"Hydroisotop";"-66.6";"1";"Hydroisotop";"7.9";"1.1";"Hydroisotop";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2021";"";"01.06.2021";"30.06.2021";"";"";"";"";"";"";"";"";"";"";"-6.62";"0.1";"Hydroisotop";"-42.7";"1";"Hydroisotop";"12.7";"1";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2021";"";"01.07.2021";"31.07.2021";"";"";"";"";"";"";"";"";"";"";"-6.24";"0.1";"Hydroisotop";"-39.6";"1";"Hydroisotop";"9.3";"0.9";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2021";"";"01.08.2021";"31.08.2021";"";"";"";"";"";"";"";"";"";"";"-6.53";"0.1";"Hydroisotop";"-41";"1";"Hydroisotop";"7.8";"0.8";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2021";"";"01.09.2021";"30.09.2021";"";"";"";"";"";"";"";"";"";"";"-7.24";"0.1";"Hydroisotop";"-49";"1";"Hydroisotop";"7";"0.7";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2021";"";"01.10.2021";"31.10.2021";"";"";"";"";"";"";"";"";"";"";"-7.22";"0.1";"Hydroisotop";"-42.2";"1";"Hydroisotop";"3.5";"0.5";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2021";"";"01.11.2021";"30.11.2021";"";"";"";"";"";"";"";"";"";"";"-16.12";"0.1";"Hydroisotop";"-118";"1";"Hydroisotop";"4.2";"1";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 2021";"";"01.12.2021";"31.12.2021";"";"";"";"";"";"";"";"";"";"";"-22.23";"0.1";"Hydroisotop";"-169";"1";"Hydroisotop";"4.4";"0.5";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2022";"";"01.01.2022";"31.01.2022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2022";"";"01.02.2022";"28.02.2022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2022";"";"01.03.2022";"31.03.2022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2022";"";"01.04.2022";"30.04.2022";"";"";"";"";"";"";"";"";"";"";"-14.5";"0.1";"Hydroisotop";"-109.9";"1";"Hydroisotop";"10.2";"0.9";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2022";"";"01.05.2022";"31.05.2022";"";"";"";"";"";"";"";"";"";"";"-5.32";"0.1";"Hydroisotop";"-34.1";"1";"Hydroisotop";"11.1";"1";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2022";"";"01.06.2022";"30.06.2022";"";"";"";"";"";"";"";"";"";"";"-5.01";"0.1";"Hydroisotop";"-29.5";"1";"Hydroisotop";"10";"0.6";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2022";"";"01.07.2022";"31.07.2022";"";"";"";"";"";"";"";"";"";"";"-5.28";"0.1";"Hydroisotop";"-28.2";"1";"Hydroisotop";"11.3";"0.9";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2022";"";"01.08.2022";"31.08.2022";"";"";"";"";"";"";"";"";"";"";"-6.17";"0.1";"Hydroisotop";"-34.8";"1";"Hydroisotop";"12.8";"1.2";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2022";"";"01.09.2022";"30.09.2022";"";"";"";"";"";"";"";"";"";"";"-9.37";"0.1";"Hydroisotop";"-62.4";"1";"Hydroisotop";"7.8";"0.9";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2022";"";"01.10.2022";"31.10.2022";"";"";"";"";"";"";"";"";"";"";"-6.52";"0.1";"Hydroisotop";"-40.5";"1";"Hydroisotop";"4.9";"0.6";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2022";"";"01.11.2022";"30.11.2022";"";"";"";"";"";"";"";"";"";"";"-16.64";"0.1";"Hydroisotop";"-124";"1";"Hydroisotop";"4.9";"0.7";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 2022";"";"01.12.2022";"31.12.2022";"";"";"";"";"";"";"";"";"";"";"-18.52";"0.1";"Hydroisotop";"-136.7";"1";"Hydroisotop";"4.4";"0.5";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2023";"";"01.01.2023";"31.01.2023";"";"";"";"";"";"";"";"";"";"";"-20.16";"0.1";"Hydroisotop";"-151.9";"1";"Hydroisotop";"4.9";"0.5";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2023";"";"01.02.2023";"28.02.2023";"";"";"";"";"";"";"";"";"";"";"-20.43";"0.1";"Hydroisotop";"-161.9";"1";"Hydroisotop";"7";"0.8";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2023";"";"01.03.2023";"31.03.2023";"";"";"";"";"";"";"";"";"";"";"-10.73";"0.1";"Hydroisotop";"-75.7";"1";"Hydroisotop";"6.2";"0.6";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2023";"";"01.04.2023";"30.04.2023";"";"";"";"";"";"";"";"";"";"";"-12.58";"0.1";"Hydroisotop";"-92.3";"1";"Hydroisotop";"8.2";"0.7";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2023";"";"01.05.2023";"31.05.2023";"";"";"";"";"";"";"";"";"";"";"-13.32";"0.1";"Hydroisotop";"-99.8";"1";"Hydroisotop";"12.4";"0.8";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2023";"";"01.06.2023";"30.06.2023";"";"";"";"";"";"";"";"";"";"";"-7.19";"0.1";"Hydroisotop";"-46.7";"1";"Hydroisotop";"12.2";"0.7";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2023";"";"01.07.2023";"31.07.2023";"";"";"";"";"";"";"";"";"";"";"-6.76";"0.1";"Hydroisotop";"-42";"1";"Hydroisotop";"10.1";"0.8";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2023";"";"01.08.2023";"31.08.2023";"";"";"";"";"";"";"";"";"";"";"-5.93";"0.1";"Hydroisotop";"-33.8";"1";"Hydroisotop";"7.9";"0.8";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2023";"";"01.09.2023";"30.09.2023";"";"";"";"";"";"";"";"";"";"";"-6.54";"0.1";"Hydroisotop";"-38";"1";"Hydroisotop";"5.1";"0.5";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2023";"";"01.10.2023";"31.10.2023";"";"";"";"";"";"";"";"";"";"";"-9.05";"0.1";"Hydroisotop";"-61.3";"1";"Hydroisotop";"3";"0.6";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2023";"";"01.11.2023";"30.11.2023";"";"";"";"";"";"";"";"";"";"";"-14.3";"0.1";"Hydroisotop";"-102.2";"1";"Hydroisotop";"3.3";"0.9";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 2023";"";"01.12.2023";"31.12.2023";"";"";"";"";"";"";"";"";"";"";"-15.01";"0.1";"Hydroisotop";"-111.6";"1";"Hydroisotop";"4.1";"0.8";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2007";"";"01.01.2007";"31.01.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2007";"";"01.03.2007";"31.03.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2007";"";"01.04.2007";"30.04.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2007";"";"01.05.2007";"31.05.2007";"1020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2007";"";"01.06.2007";"30.06.2007";"1030";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2007";"";"01.07.2007";"31.07.2007";"1045";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2007";"";"01.08.2007";"31.08.2007";"1024";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Sep 2007";"";"01.09.2007";"30.09.2007";"1034";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Okt 2007";"";"01.10.2007";"31.10.2007";"1016";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Nov 2007";"";"01.11.2007";"30.11.2007";"1011";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Dez 2007";"";"01.12.2007";"31.12.2007";"455";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2008";"";"01.01.2008";"31.01.2008";"1027";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Feb 2008";"";"01.02.2008";"29.02.2008";"646";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2008";"";"01.03.2008";"31.03.2008";"1055";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2008";"";"01.04.2008";"30.04.2008";"1054";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2008";"";"01.05.2008";"31.05.2008";"1043";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2008";"";"01.06.2008";"30.06.2008";"1043";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2008";"";"01.07.2008";"31.07.2008";"1029";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2008";"";"01.08.2008";"31.08.2008";"1060";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2010 (1)";"";"01.12.2010";"31.01.2010";"523";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Feb 2010";"";"01.12.2010";"28.02.2010";"1040";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2010";"";"01.12.2010";"31.03.2010";"1037";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2010";"";"01.12.2010";"30.04.2010";"543";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2010";"";"01.12.2010";"31.05.2010";"1039";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2010";"";"01.12.2010";"30.06.2010";"1059";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2010";"";"01.12.2010";"31.07.2010";"1062";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2010";"";"01.12.2010";"31.08.2010";"1028";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Sep 2010";"";"01.12.2010";"30.09.2010";"1042";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Okt 2010";"";"01.12.2010";"31.10.2010";"1033";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Nov 2010";"";"01.12.2010";"30.11.2010";"1041";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Dez 2010";"";"01.12.2010";"31.12.2010";"1023";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2011";"";"01.01.2011";"31.01.2011";"613";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Feb 2011 (1)";"";"01.02.2011";"28.02.2011";"523";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2011";"";"01.03.2011";"31.03.2011";"1026";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2011 (1)";"";"01.04.2011";"30.04.2011";"329";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2011 (1)";"";"01.05.2011";"31.05.2011";"1063";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2011";"";"01.06.2011";"30.06.2011";"1055";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2011";"";"01.07.2011";"31.07.2011";"1036";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2011 (1)";"";"01.08.2011";"31.08.2011";"1042";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Sep 2011";"";"01.09.2011";"30.09.2011";"1049";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Okt 2011";"";"01.10.2011";"31.10.2011";"1044";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Nov 2011 (1)";"";"01.11.2011";"30.11.2011";"307";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Dez 2011";"";"01.12.2011";"31.12.2011";"1047";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2014";"70000008";"01.01.2014";"31.01.2014";"";"90";"ZAMG";"";"";"";"";"";"";"";"-20.22";"0.1";"ARC_2007-2009";"-155.1";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Feb 2014";"70000008";"01.02.2014";"28.02.2014";"";"86";"ZAMG";"";"";"";"";"";"";"";"-15.83";"0.1";"ARC_2007-2009";"-118.6";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2014";"70000008";"01.03.2014";"31.03.2014";"";"30";"ZAMG";"";"";"";"";"";"";"";"-17.09";"0.1";"ARC_2007-2009";"-129.1";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2014";"70000008";"01.04.2014";"30.04.2014";"";"29";"ZAMG";"";"";"";"";"";"";"";"-10.14";"0.1";"ARC_2007-2009";"-74.6";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2014";"70000008";"01.05.2014";"31.05.2014";"";"81";"ZAMG";"";"";"";"";"";"";"";"-9.35";"0.1";"ARC_2007-2009";"-67.4";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2014";"70000008";"01.06.2014";"30.06.2014";"";"87";"ZAMG";"";"";"";"";"";"";"";"-7.02";"0.1";"ARC_2007-2009";"-48.5";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2014";"70000008";"01.07.2014";"31.07.2014";"";"145";"ZAMG";"";"";"";"";"";"";"";"-6.84";"0.1";"ARC_2007-2009";"-45.8";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2014";"70000008";"01.08.2014";"31.08.2014";"";"260";"ZAMG";"";"";"";"";"";"";"";"-7.31";"0.1";"ARC_2007-2009";"-47.7";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Sep 2014";"70000008";"01.09.2014";"30.09.2014";"";"31";"ZAMG";"";"";"";"";"";"";"";"-8.89";"0.1";"ARC_2007-2009";"-65.4";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Okt 2014";"70000008";"01.10.2014";"31.10.2014";"";"92";"ZAMG";"";"";"";"";"";"";"";"-12.18";"0.1";"ARC_2007-2009";"-88.1";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Nov 2014";"70000008";"01.11.2014";"30.11.2014";"";"121";"ZAMG";"";"";"";"";"";"";"";"-14.43";"0.1";"ARC_2007-2009";"-101.6";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Dez 2014";"70000008";"01.12.2014";"31.12.2014";"";"31";"ZAMG";"";"";"";"";"";"";"";"-14.16";"0.1";"ARC_2007-2009";"-104";"1";"ARC_2007-2009";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jan 2015";"";"";"31.01.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Feb 2015";"";"";"28.02.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mär 2015";"";"";"31.03.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Apr 2015";"";"";"30.04.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Mai 2015";"";"";"31.05.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jun 2015";"";"";"30.06.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Jul 2015";"";"";"31.07.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Aug 2015";"";"";"31.08.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Sep 2015";"";"";"30.09.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Okt 2015";"";"";"31.10.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Nov 2015 (1)";"";"";"30.11.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000008";"St. Jakob / Defreggen";"St. Jakob in Defereggen";"1410";"Dez 2015";"";"";"31.12.2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Jan 2007";"";"01.01.2007";"31.01.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Feb 2007";"";"01.02.2007";"28.02.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Mär 2007";"";"01.03.2007";"31.03.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Apr 2007";"";"01.04.2007";"30.04.2007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Mai 2007";"";"01.05.2007";"31.05.2007";"1053";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Jun 2007";"";"01.06.2007";"30.06.2007";"1073";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Jul 2007";"";"01.07.2007";"31.07.2007";"1070";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Aug 2007";"";"01.08.2007";"31.08.2007";"1064";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000053";"Hochfilzen";"Hochfilzen";"1000";"Sep 2007";"";"01.09.2007";"30.09.2007";"1007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
